"Finsbury Park","Highbury & Islington"
"Finsbury Park","Manor House"
"Finsbury Park","Seven Sisters"
"Fulham Broadway","Parsons Green"
"Fulham Broadway","West Brompton"
"Gants Hill","Newbury Park"
"Gants Hill","Redbridge"
"Gloucester Road","High Street Kensington"
"Gloucester Road","South Kensington"
"Golders Green","Hampstead"
"Goldhawk Road","Hammersmith"
"Goldhawk Road","Shepherd's Bush (H)"
"Goodge Street","Tottenham Court Road"
"Goodge Street","Warren Street"
"Grange Hill","Hainault"
"Green Park","Hyde Park Corner"
"Green Park","Oxford Circus"
"Green Park","Piccadilly Circus"
"Green Park","Victoria"
"Green Park","Westminster"
"Greenford","Northolt"
"Greenford","Perivale"
"Gunnersbury","Kew Gardens"
"Gunnersbury","Turnham Green"
"Hammersmith","Ravenscourt Park"
"Hammersmith","Turnham Green"
"Hanger Lane","North Acton"
"Hanger Lane","Perivale"
"Harlesden","Stonebridge Park"
"Harlesden","Willesden Junction"
"Harrow & Wealdstone","Kenton"
"Harrow-on-the-Hill","North Harrow"
"Harrow-on-the-Hill","Northwick Park"
"Harrow-on-the-Hill","West Harrow"
"Hatton Cross","Heathrow Terminal 4"
"Hatton Cross","Heathrow Terminals 1, 2 & 3"
"Hatton Cross","Hounslow West"
"Heathrow Terminals 1, 2 & 3","Heathrow Terminal 4"
"Heathrow Terminals 1, 2 & 3","Heathrow Terminal 5"
"Heron Quays","South Quay"
"High Barnet","Totteridge & Whetstone"
"High Street Kensington","Notting Hill Gate"
"Highbury & Islington","King's Cross St. Pancras"
"Hillingdon","Ickenham"
"Hillingdon","Uxbridge"
"Holborn","Russell Square"
"Holborn","Tottenham Court Road"
"Holland Park","Notting Hill Gate"
"Holland Park","Shepherd's Bush (C)"
"Hornchurch","Upminster Bridge"
"Hounslow Central","Hounslow East"
"Hounslow Central","Hounslow West"
"Hounslow East","Osterley"
"Hyde Park Corner","Knightsbridge"
"Ickenham","Ruislip"
"Island Gardens","Mudchute"
"Kennington","Oval"
"Kennington","Waterloo"
"Kensal Green","Queen's Park"
"Kensal Green","Willesden Junction"
"Kentish Town","Tufnell Park"
"Kenton","South Kenton"
"Kew Gardens","Richmond"
"Kilburn Park","Maida Vale"
"Kilburn Park","Queen's Park"
"Kilburn","West Hampstead"
"Kilburn","Willesden Green"
"King's Cross St. Pancras","Russell Square"
"Kingsbury","Queensbury"
"Kingsbury","Wembley Park"
"Knightsbridge","South Kensington"
"Ladbroke Grove","Latimer Road"
"Ladbroke Grove","Westbourne Park"
"Lambeth North","Waterloo"
"Lancaster Gate","Marble Arch"
"Lancaster Gate","Queensway"
"Latimer Road","Shepherd's Bush (H)"
"Leicester Square","Piccadilly Circus"
"Leicester Square","Tottenham Court Road"
"Leyton","Leytonstone"
"Leyton","Stratford"
"Leytonstone","Snaresbrook"
"Leytonstone","Wanstead"
"Limehouse","Shadwell"
"Limehouse","Westferry"
"Liverpool Street","Moorgate"
"London Bridge","Southwark"
"London City Airport","King George V"
"Maida Vale","Warwick Avenue"
"Manor House","Turnpike Lane"
"Mile End","Stepney Green"
"Mile End","Stratford"
"Monument","Tower Hill"
"Moor Park","Northwood"
"Moor Park","Rickmansworth"
"Moorgate","Old Street"
"Morden","South Wimbledon"
"Neasden","Wembley Park"
"New Cross Gate","Surrey Quays"
"New Cross","Surrey Quays"
"North Acton","West Acton"
"North Ealing","Park Royal"
"North Harrow","Pinner"
"North Wembley","South Kenton"
"North Wembley","Wembley Central"
"Northfields","South Ealing"
"Northolt","South Ruislip"
"Northwick Park","Preston Road"
"Northwood Hills","Pinner"
"Northwood","Northwood Hills"
"Notting Hill Gate","Queensway"
"Oakwood","Southgate"
"Oval","Stockwell"
"Oxford Circus","Piccadilly Circus"
"Oxford Circus","Regent's Park"
"Oxford Circus","Tottenham Court Road"
"Oxford Circus","Warren Street"
"Paddington","Royal Oak"
"Paddington","Warwick Avenue"
"Parsons Green","Putney Bridge"
"Pimlico","Vauxhall"
"Pimlico","Victoria"
"Plaistow","Upton Park"
"Plaistow","West Ham"
"Pontoon Dock","London City Airport"
"Poplar","West India Quay"
"Poplar","Westferry"
"Preston Road","Wembley Park"
"Prince Regent","Royal Albert"
"Pudding Mill Lane","Stratford"
"Ravenscourt Park","Stamford Brook"
"Rayners Lane","South Harrow"
"Rayners Lane","West Harrow"
"Redbridge","Wanstead"
"Roding Valley","Woodford"
"Rotherhithe","Wapping"
"Royal Oak","Westbourne Park"
